"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1197","2023-08-29","DJ LeMahieu",110,"---",".35","Out"
"1198","2023-08-29","William Contreras",136,"---",".87","BB"
"1199","2023-08-29","Josh Lowe",82,"---",".09","Out"
"1203","2023-08-29","Spencer Steer",74,"1--",".07","Out"
"1204","2023-08-29","Royce Lewis",143,"1--","1.66","1B"
"1205","2023-08-30","Zach McKinstry",76,"---",".57","1B"
"1206","2023-08-30","Tim Anderson",109,"12-",".21","Out"
"1207","2023-08-30","James McCann",55,"---",".18","BB"
"1208","2023-08-30","MJ Melendez",99,"1--","1.86","Out"
"1209","2023-08-30","Spencer Steer",74,"1--","1.11","Out"
"1212","2023-08-30","Nick Fortes",95,"---",".99","Out"
"1213","2023-09-01","Nick Ahmed",95,"---",".78","SO"
"1214","2023-08-31","Jason Heyward",56,"---",".22","SO"
"1215","2023-09-01","Cedric Mullins",107,"1--",".72","SO"
"1217","2023-09-01","Ketel Marte",105,"---",".22","Out"
"1218","2023-09-01","Aaron Judge",210,"-2-",".74","Out"
"1219","2023-09-01","Zach McKinstry",76,"---",".42","Out"
"1220","2023-09-01","Luke Raley",73,"1--",".92","Out"
"1221","2023-09-01","Carlos Santana",100,"---",".30","SO"
"1223","2023-09-01","Miguel Andújar",61,"1--","3.43","BB"
"1224","2023-09-01","Josh Rojas",110,"1--","1.62","Out"
"1225","2023-09-02","Jeimer Candelario",81,"1--",".94","FC"
"1226","2023-09-01","Jake Fraley",121,"---","2.50","Out"
"1228","2023-09-02","Cody Bellinger",81,"---","1.08","Out"
"1230","2023-09-02","MJ Melendez",99,"---",".59","Out"
"1232","2023-09-02","Daniel Vogelbach",126,"1--","1.48","SO"
"1233","2023-09-02","Paul DeJong",52,"---",".42","1B"
"1234","2023-09-02","Matt Wallner",103,"1--","1.42","SO"
"1235","2023-09-02","Juan Soto",147,"---",".32","Out"
"1237","2023-09-03","Alejandro Kirk",127,"--3","1.33","SO"
"1239","2023-09-03","Adam Duvall",86,"1--","1.74","2B"
"1240","2023-09-03","Nolan Jones",96,"---","1.27","SO"
"1242","2023-09-03","Francisco Álvarez",121,"1--","1.04","Out"
"1243","2023-09-03","Alec Burleson",54,"123","1.98","Out"
"1244","2023-09-03","Mitch Garver",98,"---","1.17","SO"
"1246","2023-09-04","Hunter Renfroe",124,"1--",".23","Out"
"1248","2023-09-04","Ty France",125,"---",".27","Out"
"1249","2023-09-04","Alex Bregman",134,"---",".41","BB"
"1250","2023-09-04","Willy Adames",110,"---",".58","Out"
"1251","2023-09-04","Liover Peguero",144,"---",".40","Out"
"1252","2023-09-05","Gunnar Henderson",126,"-2-","2.21","SO"
"1253","2023-09-05","Freddie Freeman",156,"---",".87","Out"
"1254","2023-09-05","Seiya Suzuki",113,"---",".15","1B"
"1255","2023-09-05","Chris Taylor",89,"---",".72","1B"
"1258","2023-09-05","Akil Baddoo",63,"1--","2.06","SO"
"1259","2023-09-05","Travis Blankenhorn",-100,"---",".87","SO"
